ID;Organisation;Sector;Subsector;Service;Province_CODE;Municipality_CODE;Barangay;Status;Beneficiaries;Beneficiary_type;Place Name;Activity;Quantity;Unit;Start Date;End Date;Month;Region
2396;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;21;individuals;Momongan Elementary School;Psychosocial Support;21;individuals;5-Oct-2017;5-Oct-2017;October;Region 10
2397;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;Landa Madrasah;Finished;124;individuals;Landa Madrasah;Psychosocial Support;124;individuals;5-Oct-2017;5-Oct-2017;October;Region 10
2405;ICRC;Welfare;PSS;Psychosocial Support (Film Showing);1035;103502;West Poblacion;Finished;20;individuals;Momongan Elementary School;Psychosocial Support (Film Showing);20;individuals;5-Oct-2017;5-Oct-2017;October;Region 10
2419;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;34;individuals;Momongan Elementary School;Psychosocial Support;34;individuals;6-Oct-2017;6-Oct-2017;October;Region 10
2454;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;Landa Madrasah;Finished;83;individuals;Landa Madrasah;Psychosocial Support;83;individuals;9-Oct-2017;9-Oct-2017;October;Region 10
2455;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;39;individuals;Al-Bironi;Psychosocial Support;39;individuals;9-Oct-2017;9-Oct-2017;October;Region 10
2479;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;Landa Madrasah;Finished;98;individuals;Landa Madrasah;Psychosocial Support;98;individuals;10-Oct-2017;10-Oct-2017;October;Region 10
2480;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;43;individuals;Al-Bironi;Psychosocial Support;43;individuals;10-Oct-2017;10-Oct-2017;October;Region 10
2502;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;Landa Madrasah;Finished;108;individuals;Landa Madrasah;Psychosocial Support;108;individuals;11-Oct-2017;11-Oct-2017;October;Region 10
2503;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;34;individuals;Al-Bironi;Psychosocial Support;34;individuals;11-Oct-2017;11-Oct-2017;October;Region 10
2520;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;Landa Madrasah;Finished;5;individuals;Landa Madrasah;Psychosocial Support;5;individuals;12-Oct-2017;12-Oct-2017;October;Region 10
2534;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;25;individuals;Momongan Elementary School;Psychosocial Support;25;individuals;13-Oct-2017;13-Oct-2017;October;Region 10
2535;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;Landa Madrasah;Finished;92;individuals;Landa Madrasah;Psychosocial Support;92;individuals;13-Oct-2017;13-Oct-2017;October;Region 10
2568;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;Landa Madrasah;Finished;71;individuals;Landa Madrasah;Psychosocial Support;71;individuals;16-Oct-2017;16-Oct-2017;October;Region 10
2588;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;Landa Madrasah;Finished;81;individuals;Landa Madrasah;Psychosocial Support;81;individuals;17-Oct-2017;17-Oct-2017;October;Region 10
2589;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;East Poblacion;Finished;32;individuals;BHCU;Psychosocial Support;32;individuals;17-Oct-2017;17-Oct-2017;October;Region 10
2610;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;Landa Madrasah;Finished;58;individuals;Landa Madrasah;Psychosocial Support;58;individuals;18-Oct-2017;18-Oct-2017;October;Region 10
2625;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;Landa Madrasah;Finished;90;individuals;Landa Madrasah;Psychosocial Support;90;individuals;19-Oct-2017;19-Oct-2017;October;Region 10
2626;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;8;individuals;Momongan Elementary School;Psychosocial Support;8;individuals;19-Oct-2017;19-Oct-2017;October;Region 10
2643;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;Landa Madrasah;Finished;84;individuals;Landa Madrasah;Psychosocial Support;84;individuals;20-Oct-2017;20-Oct-2017;October;Region 10
2667;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;38;individuals;Momongan Elementary School;Psychosocial Support;38;individuals;23-Oct-2017;23-Oct-2017;October;Region 10
2668;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;Landa Madrasah;Finished;150;individuals;Landa Madrasah;Psychosocial Support;150;individuals;23-Oct-2017;23-Oct-2017;October;Region 10
2669;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;27;individuals;Al-Bironi;Psychosocial Support;27;individuals;23-Oct-2017;23-Oct-2017;October;Region 10
2670;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;54;individuals;Maahad Markazi Evacuation Center;Psychosocial Support;54;individuals;23-Oct-2017;23-Oct-2017;October;Region 10
2671;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;31;individuals;Madrasah Al Qariah;Psychosocial Support;31;individuals;23-Oct-2017;23-Oct-2017;October;Region 10
2694;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;East Poblacion;Finished;25;individuals;BHCU;Psychosocial Support;25;individuals;25-Oct-2017;25-Oct-2017;October;Region 10
2695;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;38;individuals;Maahad Markazi Evacuation Center;Psychosocial Support;38;individuals;25-Oct-2017;25-Oct-2017;October;Region 10
2696;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;34;individuals;Madrasah Al Qariah;Psychosocial Support;34;individuals;25-Oct-2017;25-Oct-2017;October;Region 10
2697;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;42;individuals;Momongan Elementary School;Psychosocial Support;42;individuals;25-Oct-2017;25-Oct-2017;October;Region 10
2698;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;Landa Madrasah;Finished;76;individuals;Landa Madrasah;Psychosocial Support;76;individuals;25-Oct-2017;25-Oct-2017;October;Region 10
2699;ICRC;Welfare;PSS;Psychosocial Support (Film Showing);1035;103502;West Poblacion;Finished;23;individuals;Al-Bironi;Psychosocial Support (Film Showing);23;individuals;25-Oct-2017;25-Oct-2017;October;Region 10
2710;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;20;individuals;Momongan Elementary School;Psychosocial Support;20;individuals;26-Oct-2017;26-Oct-2017;October;Region 10
2711;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;Landa Madrasah;Finished;81;individuals;Landa Madrasah;Psychosocial Support;81;individuals;26-Oct-2017;26-Oct-2017;October;Region 10
2712;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;55;individuals;Madrasah Al Qariah;Psychosocial Support;55;individuals;26-Oct-2017;26-Oct-2017;October;Region 10
2713;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;54;individuals;Baluno Evacuation Center;Psychosocial Support;54;individuals;26-Oct-2017;26-Oct-2017;October;Region 10
2760;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;86;individuals;Momongan Elementary School;Psychosocial Support;86;individuals;30-Oct-2017;30-Oct-2017;October;Region 10
2761;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;44;individuals;Al-Bironi;Psychosocial Support;44;individuals;30-Oct-2017;30-Oct-2017;October;Region 10
2773;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;52;individuals;Baluno Evacuation Center;Psychosocial Support;52;individuals;25-Oct-2017;25-Oct-2017;October;Region 10
2774;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;70;individuals;Baluno Evacuation Center;Psychosocial Support;70;individuals;30-Oct-2017;30-Oct-2017;October;Region 10
2788;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;Landa Madrasah;Finished;56;individuals;Landa Madrasah;Psychosocial Support;56;individuals;31-Oct-2017;31-Oct-2017;October;Region 10
2839;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;24;individuals;Al-Bironi;Psychosocial Support;24;individuals;3-Nov-2017;3-Nov-2017;November;Region 10
2840;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;14;individuals;Madrasah Al Qariah;Psychosocial Support;14;individuals;3-Nov-2017;3-Nov-2017;November;Region 10
2841;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;11;individuals;Baluno Evacuation Center;Psychosocial Support;11;individuals;3-Nov-2017;3-Nov-2017;November;Region 10
2842;ICRC;Welfare;PSS;Psychosocial Support (Film Showing);1035;103502;West Poblacion;Finished;60;individuals;Baluno Evacuation Center;Psychosocial Support (Film Showing);60;individuals;3-Nov-2017;3-Nov-2017;November;Region 10
2846;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;4;individuals;Gumampong D. Ali Cultural Center;Psychosocial Support;4;individuals;4-Nov-2017;4-Nov-2017;November;Region 10
2860;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;Landa Madrasah;Finished;7;individuals;Landa Madrasah;Psychosocial Support;7;individuals;4-Nov-2017;4-Nov-2017;November;Region 10
2868;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;10;individuals;Momongan Elementary School;Psychosocial Support;10;individuals;4-Nov-2017;4-Nov-2017;November;Region 10
2869;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;2;individuals;Al-Bironi;Psychosocial Support;2;individuals;4-Nov-2017;4-Nov-2017;November;Region 10
2870;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;1;individual;Maahad Markazi Evacuation Center;Psychosocial Support;1;individual;4-Nov-2017;4-Nov-2017;November;Region 10
2871;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;6;individuals;Madrasah Al Qariah;Psychosocial Support;6;individuals;4-Nov-2017;4-Nov-2017;November;Region 10
2872;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;11;individuals;Baluno Evacuation Center;Psychosocial Support;11;individuals;4-Nov-2017;4-Nov-2017;November;Region 10
2885;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;35;individuals;Madrasah Al Qariah;Psychosocial Support;35;individuals;6-Nov-2017;6-Nov-2017;November;Region 10
2886;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;75;individuals;Momongan Elementary School;Psychosocial Support;75;individuals;6-Nov-2017;6-Nov-2017;November;Region 10
2887;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;Landa Madrasah;Finished;16;individuals;Landa Madrasah;Psychosocial Support;16;individuals;6-Nov-2017;6-Nov-2017;November;Region 10
2888;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;37;individuals;Al-Bironi;Psychosocial Support;37;individuals;6-Nov-2017;6-Nov-2017;November;Region 10
2892;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;27;individuals;Baluno Evacuation Center;Psychosocial Support;27;individuals;6-Nov-2017;6-Nov-2017;November;Region 10
2980;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;Landa Madrasah;Finished;122;individuals;Landa Madrasah;Psychosocial Support;122;individuals;7-Nov-2017;7-Nov-2017;November;Region 10
2981;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;12;individuals;Al-Bironi;Psychosocial Support;12;individuals;7-Nov-2017;7-Nov-2017;November;Region 10
2988;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;23;individual;Momongan Elementary School;Psychosocial Support;23;individual;8-Nov-2017;8-Nov-2017;November;Region 10
2989;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;Landa Madrasah;Finished;67;individual;Landa Madrasah;Psychosocial Support;67;individual;8-Nov-2017;8-Nov-2017;November;Region 10
2990;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;42;individual;Al-Bironi;Psychosocial Support;42;individual;8-Nov-2017;8-Nov-2017;November;Region 10
2991;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;71;individual;Maahad Markazi Evacuation Center;Psychosocial Support;71;individual;8-Nov-2017;8-Nov-2017;November;Region 10
2992;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;24;individual;Madrasah Al Qariah;Psychosocial Support;24;individual;8-Nov-2017;8-Nov-2017;November;Region 10
2993;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;69;individual;Baluno Evacuation Center;Psychosocial Support;69;individual;8-Nov-2017;8-Nov-2017;November;Region 10
2998;ICRC;Welfare;PSS;Psychosocial Support (Film Showing);1035;103502;West Poblacion;Finished;32;individual;Momongan Elementary School;Psychosocial Support (Film Showing);32;individual;8-Nov-2017;8-Nov-2017;November;Region 10
3021;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;Landa Madrasah;Finished;91;individuals;Landa Madrasah;Psychosocial Support;91;individuals;9-Nov-2017;9-Nov-2017;November;Region 10
3044;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;Landa Madrasah;Finished;87;individuals;Landa Madrasah;Psychosocial Support;87;individuals;10-Nov-2017;10-Nov-2017;November;Region 10
3045;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;47;individuals;Al-Bironi;Psychosocial Support;47;individuals;10-Nov-2017;10-Nov-2017;November;Region 10
3046;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;33;individuals;Madrasah Al Qariah;Psychosocial Support;33;individuals;10-Nov-2017;10-Nov-2017;November;Region 10
3047;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;47;individuals;Baluno Evacuation Center;Psychosocial Support;47;individuals;10-Nov-2017;10-Nov-2017;November;Region 10
3068;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;111;Individuals;Al-Bironi;Psychosocial Support;111;Individuals;11-Nov-2017;11-Nov-2017;November;Region 10
3099;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;33;individuals;Momongan Elementary School;Psychosocial Support;33;individuals;13-Nov-2017;13-Nov-2017;November;Region 10
3100;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;Landa Madrasah;Finished;77;individuals;Landa Madrasah;Psychosocial Support;77;individuals;13-Nov-2017;13-Nov-2017;November;Region 10
3102;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;38;individual;Maahad Markazi Evacuation Center;Psychosocial Support;38;individual;13-Nov-2017;13-Nov-2017;November;Region 10
3103;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;23;individuals;Madrasah Al Qariah;Psychosocial Support;23;individuals;13-Nov-2017;13-Nov-2017;November;Region 10
3104;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;36;individuals;Baluno Evacuation Center;Psychosocial Support;36;individuals;13-Nov-2017;13-Nov-2017;November;Region 10
3144;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;Landa Madrasah;Finished;154;individuals;Landa Madrasah;Psychosocial Support;154;individuals;14-Nov-2017;14-Nov-2017;November;Region 10
3145;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;34;Individuals;Al-Bironi;Psychosocial Support;34;Individuals;14-Nov-2017;14-Nov-2017;November;Region 10
3146;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;65;individuals;Madrasah Al Qariah;Psychosocial Support;65;individuals;14-Nov-2017;14-Nov-2017;November;Region 10
3147;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;30;individuals;Baluno Evacuation Center;Psychosocial Support;30;individuals;14-Nov-2017;14-Nov-2017;November;Region 10
3148;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;Pacalundo;Finished;64;individuals;Babool Toril;Psychosocial Support;64;individuals;14-Nov-2017;14-Nov-2017;November;Region 10
3166;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;50;individuals;Gumampong D. Ali Cultural Center;Psychosocial Support;50;individuals;16-Nov-2017;16-Nov-2017;November;Region 10
3168;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;4;individuals;Momongan Elementary School Evacuation Center;Psychosocial Support;4;individuals;16-Nov-2017;16-Nov-2017;November;Region 10
3169;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;Landa Madrasah;Finished;68;individuals;Landa Madrasah;Psychosocial Support;68;individuals;16-Nov-2017;16-Nov-2017;November;Region 10
3171;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;10;Individuals;Al-Bironi;Psychosocial Support;10;Individuals;16-Nov-2017;16-Nov-2017;November;Region 10
3172;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;10;individuals;Madrasah Al Qariah;Psychosocial Support;10;individuals;16-Nov-2017;16-Nov-2017;November;Region 10
3199;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;East Poblacion;Finished;17;individuals;BHCU;Psychosocial Support;17;individuals;17-Nov-2017;17-Nov-2017;November;Region 10
3255;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;Landa Madrasah;Finished;74;individuals;Landa Madrasah;Psychosocial Support;74;individuals;20-Nov-2017;20-Nov-2017;November;Region 10
3256;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;37;Individuals;Al-Bironi;Psychosocial Support;37;Individuals;20-Nov-2017;20-Nov-2017;November;Region 10
3257;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;32;individuals;Madrasah Al Qariah;Psychosocial Support;32;individuals;20-Nov-2017;20-Nov-2017;November;Region 10
3258;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;20;individuals;Baluno Evacuation Center;Psychosocial Support;20;individuals;20-Nov-2017;20-Nov-2017;November;Region 10
3259;ICRC;Welfare;PSS;Psychosocial Support (Film Showing);1035;103502;West Poblacion;Finished;20;individuals;Baluno Evacuation Center;Psychosocial Support (Film Showing);20;individuals;20-Nov-2017;20-Nov-2017;November;Region 10
3276;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;Landa Madrasah;Finished;15;individuals;Landa Madrasah;Psychosocial Support;15;individuals;21-Nov-2017;21-Nov-2017;November;Region 10
3281;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;4;individuals;Gumampong D. Ali Cultural Center;Psychosocial Support;4;individuals;22-Nov-2017;22-Nov-2017;November;Region 10
3298;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;Landa Madrasah;Finished;3;individuals;Landa Madrasah;Psychosocial Support;3;individuals;22-Nov-2017;22-Nov-2017;November;Region 10
3299;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;9;individuals;Momongan Elementary School Evacuation Center;Psychosocial Support;9;individuals;22-Nov-2017;22-Nov-2017;November;Region 10
3300;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;5;Individuals;Al-Bironi;Psychosocial Support;5;Individuals;22-Nov-2017;22-Nov-2017;November;Region 10
3301;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;3;individual;Maahad Markazi Evacuation Center;Psychosocial Support;3;individual;22-Nov-2017;22-Nov-2017;November;Region 10
3302;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;5;individuals;Madrasah Al Qariah;Psychosocial Support;5;individuals;22-Nov-2017;22-Nov-2017;November;Region 10
3303;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;13;individuals;Baluno Evacuation Center;Psychosocial Support;13;individuals;22-Nov-2017;22-Nov-2017;November;Region 10
3307;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;20;individuals;Baluno Evacuation Center;Psychosocial Support;20;individuals;23-Nov-2017;23-Nov-2017;November;Region 10
3326;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;7;individuals;Madrasah Al Qariah;Psychosocial Support;7;individuals;23-Nov-2017;23-Nov-2017;November;Region 10
3327;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;5;individuals;Baluno Evacuation Center;Psychosocial Support;5;individuals;24-Nov-2017;24-Nov-2017;November;Region 10
3371;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;66;individuals;Maahad Abdel Aziz;Psychosocial Support;66;individuals;27-Nov-2017;27-Nov-2017;November;Region 10
3374;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;46;individual;Maahad Markazi Evacuation Center;Psychosocial Support;46;individual;27-Nov-2017;27-Nov-2017;November;Region 10
3375;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;West Poblacion;Finished;51;individuals;Madrasah Al Qariah;Psychosocial Support;51;individuals;27-Nov-2017;27-Nov-2017;November;Region 10
3376;ICRC;Welfare;PSS;Psychosocial Support;1035;103502;Landa Madrasah;Finished;45;individuals;Landa Madrasah;Psychosocial Support;45;individuals;27-Nov-2017;27-Nov-2017;November;Region 10
460;ICRC;Welfare;Referral;Welfare Referral;1035;103502;West Poblacion;Finished;1;individual;Gumampong D. Ali Cultural Center;Welfare Referral;1;individual;15-Jun-2017;15-Jun-2017;June;Region 10
607;ICRC;Welfare;Referral;Welfare Referral;1035;103502;West Poblacion;Finished;3;individuals;Gumampong D. Ali Cultural Center;Welfare Referral;3;individuals;20-Jun-2017;20-Jun-2017;June;Region 10
642;ICRC;Welfare;Referral;Welfare Referral;1035;103502;West Poblacion;Finished;3;individuals;Gumampong D. Ali Cultural Center;Welfare Referral;3;individuals;21-Jun-2017;21-Jun-2017;June;Region 10
688;ICRC;Welfare;Referral;Welfare Referral;1035;103502;West Poblacion;Finished;1;individual;Gumampong D. Ali Cultural Center;Welfare Referral;1;individual;23-Jun-2017;23-Jun-2017;June;Region 10
735;ICRC;Welfare;Referral;Welfare Referral;1035;103502;West Poblacion;Finished;1;individual;Maahad Markazi Evacuation Center;Welfare Referral;1;individual;24-Jun-2017;24-Jun-2017;June;Region 10
787;ICRC;Welfare;Referral;Welfare Referral;1035;103502;West Poblacion;Finished;2;individuals;Gumampong D. Ali Cultural Center;Welfare Referral;2;individuals;28-Jun-2017;28-Jun-2017;June;Region 10
883;ICRC;Welfare;Referral;Welfare Referral;1035;103502;West Poblacion;Finished;2;individuals;Maahad Abdel Aziz;Welfare Referral;2;individuals;1-Jul-2017;1-Jul-2017;July;Region 10
1590;ICRC;Welfare;Referral;Welfare Referral;1035;103502;West Poblacion;Finished;1;individual;Gumampong D. Ali Cultural Center;Welfare Referral;1;individual;4-Aug-2017;4-Aug-2017;August;Region 10
1783;ICRC;Welfare;Referral;Welfare Referral;1035;103502;Landa Madrasah;Finished;1;individuals;Landa Madrasah;Welfare Referral;1;individuals;16-Aug-2017;16-Aug-2017;August;Region 10
1849;ICRC;Welfare;Referral;Welfare Referral;1035;103502;West Poblacion;Finished;9;individuals;Momongan Elementary School;Welfare Referral;9;individuals;22-Aug-2017;22-Aug-2017;August;Region 10
1895;ICRC;Welfare;Referral;Welfare Referral;1035;103502;Landa Madrasah;Finished;11;individuals;Landa Madrasah;Welfare Referral;11;individuals;25-Aug-2017;25-Aug-2017;August;Region 10
1918;ICRC;Welfare;Referral;Welfare Referral;1035;103502;West Poblacion;Finished;1;individual;Gumampong D. Ali Cultural Center;Welfare Referral;1;individual;28-Aug-2017;28-Aug-2017;August;Region 10
2011;ICRC;Welfare;Referral;Welfare Referral;1035;103502;Landa Madrasah;Finished;3;individuals;Landa Madrasah;Welfare Referral;3;individuals;5-Sep-2017;5-Sep-2017;September;Region 10
2012;ICRC;Welfare;Referral;Welfare Referral;1035;103502;West Poblacion;Finished;3;individuals;Momongan Elementary School;Welfare Referral;3;individuals;5-Sep-2017;5-Sep-2017;September;Region 10
2076;ICRC;Welfare;Referral;Welfare Referral;1035;103502;Landa Madrasah;Finished;2;individuals;Landa Madrasah;Welfare Referral;2;individuals;11-Sep-2017;11-Sep-2017;September;Region 10
2144;ICRC;Welfare;Referral;Welfare Referral;1035;103502;Landa Madrasah;Finished;2;individuals;Landa Madrasah;Welfare Referral;2;individuals;15-Sep-2017;15-Sep-2017;September;Region 10
2237;ICRC;Welfare;Referral;Welfare Referral;1035;103502;East Poblacion;Finished;1;individuals;BHCU;Welfare Referral;1;individuals;22-Sep-2017;22-Sep-2017;September;Region 10
2293;ICRC;Welfare;Referral;Welfare Referral;1035;103502;Landa Madrasah;Finished;4;individuals;Landa Madrasah;Welfare Referral;4;individuals;27-Sep-2017;27-Sep-2017;September;Region 10
2406;ICRC;Welfare;Referral;Welfare Referral;1035;103502;Landa Madrasah;Finished;2;individuals;Landa Madrasah;Welfare Referral;2;individuals;5-Oct-2017;5-Oct-2017;October;Region 10
2630;ICRC;Welfare;referral;I am Alive Call;1035;103502;Landa Madrasah;Finished;17;individuals;Landa Madrasah;RFL;17;individuals;19-Oct-2017;19-Oct-2017;October;Region 10
2700;ICRC;Welfare;Referral;Welfare Referral;1035;103502;Landa Madrasah;Finished;3;individuals;Landa Madrasah;Welfare Referral;3;individuals;25-Oct-2017;25-Oct-2017;October;Region 10
3372;ICRC;Welfare;Referral;Welfare Referral;1035;103502;West Poblacion;Finished;1;individuals;Maahad Abdel Aziz;Welfare Referral;1;individuals;27-Nov-2017;27-Nov-2017;November;Region 10
32;ICRC;Welfare;RFL;I am Alive Call;1035;103502;West Poblacion;Finished;3;individuals;Gumampong D. Ali Cultural Center;RFL;3;individuals;28-May-2017;28-May-2017;May;Region 10
245;ICRC;Welfare;RFL;I am Alive Call;1035;103502;West Poblacion;Finished;3;individuals;Gumampong D. Ali Cultural Center;RFL;3;individuals;7-Jun-2017;7-Jun-2017;June;Region 10
316;ICRC;Welfare;RFL;I am Alive Call;1035;103502;West Poblacion;Finished;50;individuals;Maahad Abdel Aziz;RFL;50;individuals;9-Jun-2017;9-Jun-2017;June;Region 10
317;ICRC;Welfare;RFL;Tracing;1035;103502;West Poblacion;Finished;18;individuals;Maahad Abdel Aziz;RFL;18;individuals;9-Jun-2017;9-Jun-2017;June;Region 10
342;ICRC;Welfare;RFL;I am Alive Call;1035;103502;West Poblacion;Finished;50;individuals;Gumampong D. Ali Cultural Center;RFL;50;individuals;10-Jun-2017;10-Jun-2017;June;Region 10
343;ICRC;Welfare;RFL;Tracing;1035;103502;West Poblacion;Finished;18;individuals;Gumampong D. Ali Cultural Center;RFL;18;individuals;10-Jun-2017;10-Jun-2017;June;Region 10
437;ICRC;Welfare;RFL;Tracing;1035;103502;East Poblacion;Finished;2;individuals;BHCU;RFL;2;individuals;14-Jun-2017;14-Jun-2017;June;Region 10
508;ICRC;Welfare;RFL;Tracing;1035;103502;West Poblacion;Finished;1;individual;Maahad Abdel Aziz;RFL;1;individual;17-Jun-2017;17-Jun-2017;June;Region 10
509;ICRC;Welfare;RFL;I am Alive Call;1035;103502;West Poblacion;Finished;20;individuals;Maahad Abdel Aziz;RFL;20;individuals;17-Jun-2017;17-Jun-2017;June;Region 10
510;ICRC;Welfare;RFL;I am Alive Call;1035;103502;West Poblacion;Finished;5;individuals;Gumampong D. Ali Cultural Center;RFL;5;individuals;17-Jun-2017;17-Jun-2017;June;Region 10
